Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.6222	0.6889	0.6087	0.5000
2	0.4778	0.3333	0.6522	0.5909
4	0.6444	0.9333	0.2609	0.4545
32	0.7222	0.9556	0.6667	0.3333
38	0.5111	0.6444	0.3913	0.3636
43	0.6333	0.9111	0.4783	0.2273
45	0.6444	0.6000	0.7391	0.6364
46	0.4778	0.4222	0.6087	0.4545
51	0.5444	0.6667	0.3333	0.5238
57	0.4889	0.6000	0.4583	0.2857
60	0.6111	0.4667	0.6957	0.8182
63	0.4333	0.3556	0.3636	0.6522
67	0.3556	0.4222	0.2727	0.3043
69	0.7111	0.9111	0.6667	0.3333
73	0.5862	0.7556	0.2381	0.5714
87	0.4111	0.4444	0.2273	0.5217
89	0.5222	0.8000	0.4167	0.0476
102	0.6782	0.7111	0.9048	0.3810
