Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
3	0.2667	0.2444	0.4348	0.1364
5	0.4556	0.6444	0.4286	0.1250
8	0.6111	0.7111	0.5455	0.4783
18	0.4111	0.5556	0.3182	0.2174
22	0.5667	0.6889	0.3636	0.5217
27	0.5111	0.5778	0.4783	0.4091
35	0.4778	0.4000	1.0000	0.1304
37	0.4432	0.7333	0.1364	0.1429
39	0.4000	0.6000	0.0870	0.3182
40	0.3889	0.5556	0.2381	0.2083
68	0.5222	0.5556	0.5000	0.4783
71	0.6556	0.7111	0.8182	0.3913
75	0.5444	0.5778	0.4545	0.5652
78	0.3667	0.4889	0.3043	0.1818
79	0.3222	0.5111	0.1364	0.1304
80	0.5444	0.6000	0.3913	0.5909
85	0.7444	0.8000	0.6087	0.7727
90	0.4667	0.4889	0.3182	0.5652
94	0.5000	0.6000	0.2727	0.5217
95	0.5000	0.4889	0.6087	0.4091
97	0.4111	0.6222	0.3043	0.0909
101	0.5111	0.5556	0.7727	0.1739
103	0.4556	0.5111	0.4091	0.3913
