Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
6	0.4333	0.4889	0.1667	0.6190
9	0.4778	0.5778	0.2917	0.4762
11	0.5333	0.6222	0.6087	0.2727
12	0.4111	0.4667	0.5714	0.1667
13	0.6556	0.7111	0.6522	0.5455
15	0.7667	0.8667	0.6522	0.6818
16	0.5778	0.7556	0.3182	0.4783
17	0.4889	0.4889	0.3043	0.6818
19	0.5556	0.6444	0.5217	0.4091
21	0.5889	0.6667	0.3750	0.6667
23	0.5889	0.6222	0.5000	0.6087
24	0.3444	0.2444	0.2727	0.6087
25	0.7222	0.8444	0.5909	0.6087
26	0.5556	0.8444	0.3750	0.1429
36	0.6333	0.8444	0.3913	0.4545
49	0.6000	0.8667	0.2174	0.4545
50	0.5222	0.7333	0.2174	0.4091
53	0.4667	0.4000	0.5455	0.5217
58	0.4556	0.6000	0.4583	0.1429
61	0.5333	0.6889	0.2273	0.5217
64	0.5056	0.5111	0.2174	0.8095
74	0.4545	0.5333	0.3636	0.3810
76	0.3103	0.2667	0.6190	0.0952
83	0.6889	0.8667	0.6364	0.3913
86	0.5111	0.4444	0.5455	0.6087
91	0.5222	0.6667	0.5455	0.2174
96	0.5000	0.6000	0.5652	0.2273
99	0.3444	0.3778	0.1818	0.4348
108	0.4444	0.6222	0.1364	0.3913
