Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5667	0.6222	0.4783	0.5455
3	0.2889	0.1333	0.5652	0.3182
4	0.6778	0.9778	0.2174	0.5455
5	0.5000	0.6444	0.0952	0.5833
10	0.6556	0.6000	0.7083	0.7143
14	0.4333	0.4222	0.1364	0.7391
16	0.6000	0.6889	0.7273	0.3043
20	0.5778	0.6889	0.4783	0.4545
22	0.6333	0.8444	0.3636	0.4783
23	0.5556	0.5333	0.7273	0.4348
27	0.3889	0.3333	0.3478	0.5455
28	0.5667	0.6444	0.6818	0.3043
32	0.8333	0.8889	0.8095	0.7500
37	0.4318	0.7778	0.1364	0.0000
38	0.4000	0.4667	0.2609	0.4091
39	0.4444	0.5111	0.4783	0.2727
40	0.4556	0.7333	0.0476	0.2917
43	0.6444	0.9333	0.4783	0.2273
46	0.4667	0.3333	0.8696	0.3182
51	0.4667	0.5778	0.2083	0.5238
52	0.7333	0.6222	0.8333	0.8571
55	0.8333	0.7556	0.9130	0.9091
57	0.4111	0.6000	0.0833	0.3810
59	0.3889	0.3778	0.4167	0.3810
60	0.7000	0.5556	0.8261	0.8636
64	0.4719	0.3556	0.3913	0.8095
65	0.5667	0.5333	0.4583	0.7619
66	0.2222	0.1111	0.4545	0.2174
68	0.6111	0.6667	0.7273	0.3913
69	0.6778	0.8667	0.5833	0.3810
71	0.7444	0.6889	0.9091	0.6957
72	0.7159	0.5778	1.0000	0.7143
73	0.6322	0.6667	0.2857	0.9048
75	0.6000	0.5556	0.6364	0.6522
77	0.4222	0.4222	0.6667	0.2083
78	0.3556	0.3556	0.4348	0.2727
79	0.3889	0.4444	0.3182	0.3478
80	0.6778	0.7333	0.6957	0.5455
82	0.5778	0.5333	0.5652	0.6818
83	0.6667	0.8444	0.4091	0.5652
84	0.3111	0.2222	0.0870	0.7273
85	0.8333	0.9333	0.6087	0.8636
90	0.5889	0.7333	0.4091	0.4783
93	0.6667	0.5556	0.9565	0.5909
94	0.5667	0.5333	0.3182	0.8696
95	0.5778	0.4889	0.7826	0.5455
96	0.5444	0.4444	0.6522	0.6364
97	0.5000	0.8000	0.3043	0.0909
101	0.3667	0.3556	0.6364	0.1304
102	0.6782	0.5778	0.8095	0.7619
103	0.5111	0.5111	0.6818	0.3478
106	0.5222	0.4000	0.8333	0.4286
