Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
4	0.6667	0.8667	0.1739	0.7727
5	0.5111	0.7333	0.2381	0.3333
20	0.5000	0.6667	0.3913	0.2727
22	0.6111	0.7778	0.4091	0.4783
27	0.4667	0.5111	0.3478	0.5000
38	0.4333	0.6000	0.2609	0.2727
39	0.4333	0.5778	0.3478	0.2273
40	0.3556	0.5778	0.0952	0.1667
43	0.6889	0.9111	0.5652	0.3636
60	0.6000	0.4667	0.6522	0.8182
68	0.5333	0.5778	0.3636	0.6087
71	0.7000	0.8222	0.7273	0.4348
75	0.5333	0.4222	0.8182	0.4783
85	0.7222	0.8000	0.4348	0.8636
90	0.5444	0.6222	0.2273	0.6957
95	0.4333	0.3333	0.4783	0.5909
97	0.4333	0.8000	0.0870	0.0455
101	0.3667	0.5778	0.3182	0.0000
