Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5556	0.7111	0.4783	0.3182
2	0.4667	0.2444	0.7391	0.6364
9	0.3556	0.2667	0.5417	0.3333
19	0.5889	0.5556	0.6522	0.5909
23	0.6444	0.6889	0.5455	0.6522
32	0.7111	0.8444	0.6667	0.5000
45	0.6111	0.6222	0.9565	0.2273
46	0.5111	0.4444	0.9130	0.2273
49	0.5778	1.0000	0.0000	0.3182
51	0.6111	0.7556	0.6667	0.2381
57	0.4556	0.7111	0.0833	0.3333
63	0.3778	0.2667	0.4091	0.5652
64	0.5506	0.5556	0.4348	0.6667
67	0.2778	0.4000	0.1818	0.1304
69	0.5444	0.7333	0.4167	0.2857
73	0.5517	0.6667	0.2381	0.6190
83	0.6111	0.8000	0.6364	0.2174
87	0.4556	0.4667	0.2273	0.6522
89	0.5333	0.6444	0.2500	0.6190
91	0.4778	0.6889	0.2727	0.2609
102	0.7126	0.7333	0.7619	0.6190
