Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.6000	0.5778	0.4783	0.7727
10	0.6667	0.6667	0.7083	0.6190
14	0.4000	0.3556	0.0909	0.7826
20	0.4556	0.5111	0.4348	0.3636
23	0.5000	0.3778	0.3636	0.8696
25	0.7667	0.8889	0.4545	0.8261
27	0.4333	0.3778	0.3478	0.6364
28	0.5333	0.6000	0.5000	0.4348
29	0.7889	0.6444	0.9130	0.9545
31	0.4778	0.2000	0.8182	0.6957
33	0.5667	0.4667	0.6087	0.7273
34	0.7841	0.6222	0.9048	1.0000
35	0.5889	0.6000	1.0000	0.1739
39	0.4333	0.6444	0.1739	0.2727
41	0.4944	0.5556	0.6522	0.1905
44	0.6222	0.5778	0.8182	0.5217
45	0.6889	0.7778	0.6957	0.5000
48	0.5778	0.4222	0.8636	0.6087
52	0.7444	0.7333	0.7083	0.8095
54	0.6889	0.7778	0.7826	0.4091
59	0.5222	0.5556	0.3750	0.6190
62	0.8556	0.7333	1.0000	0.9545
66	0.1778	0.1556	0.2273	0.1739
71	0.7111	0.6889	0.9545	0.5217
72	0.8068	0.6667	0.9091	1.0000
75	0.6778	0.7111	0.5455	0.7391
77	0.4667	0.5111	0.4762	0.3750
78	0.3111	0.4000	0.1739	0.2727
79	0.4222	0.6000	0.2273	0.2609
82	0.5222	0.4667	0.4348	0.7273
83	0.5222	0.4889	0.7273	0.3913
84	0.4667	0.3556	0.4348	0.7273
85	0.7667	0.8889	0.6087	0.6818
90	0.5111	0.5111	0.5909	0.4348
93	0.6556	0.6889	0.7391	0.5000
94	0.6111	0.6667	0.4545	0.6522
98	0.4889	0.4000	0.8261	0.3182
101	0.3778	0.4444	0.5909	0.0435
103	0.5333	0.5556	0.5909	0.4348
105	0.7222	0.7556	0.6087	0.7727
106	0.4667	0.3778	0.5417	0.5714
108	0.5111	0.5556	0.2273	0.6957
