Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.6000	0.4889	0.6087	0.8182
2	0.5778	0.5556	0.4783	0.7273
3	0.3000	0.3111	0.3913	0.1818
4	0.6444	0.7556	0.3478	0.7273
5	0.4556	0.5778	0.2857	0.3750
8	0.5444	0.4444	0.6818	0.6087
10	0.6556	0.5778	0.7083	0.7619
14	0.4667	0.4000	0.3182	0.7391
16	0.5778	0.6889	0.7727	0.1739
18	0.4222	0.6667	0.1364	0.2174
20	0.5000	0.4667	0.7391	0.3182
22	0.6444	0.8000	0.3182	0.6522
27	0.4889	0.5111	0.3913	0.5455
28	0.4556	0.4889	0.5000	0.3478
35	0.5222	0.4889	1.0000	0.1304
37	0.4545	0.8222	0.1364	0.0000
38	0.3667	0.3556	0.4348	0.3182
39	0.3889	0.5556	0.2174	0.2273
40	0.5667	0.8444	0.3810	0.2083
42	0.7111	0.9333	0.6364	0.3478
43	0.6556	0.8222	0.5652	0.4091
46	0.4222	0.3556	0.5652	0.4091
51	0.5444	0.8000	0.3333	0.2381
52	0.7111	0.6222	0.7917	0.8095
55	0.7889	0.6667	0.9130	0.9091
59	0.4222	0.3333	0.5000	0.5238
60	0.6556	0.4889	0.7391	0.9091
61	0.6111	0.4667	0.8182	0.6957
64	0.4944	0.3778	0.3913	0.8571
65	0.4667	0.4222	0.3750	0.6667
66	0.2667	0.2000	0.4545	0.2174
68	0.6111	0.7556	0.6818	0.2609
71	0.7222	0.6667	0.8636	0.6957
75	0.6667	0.6222	0.6818	0.7391
77	0.4333	0.4222	0.5238	0.3750
78	0.3778	0.4222	0.2609	0.4091
79	0.3000	0.4444	0.0000	0.3043
80	0.6556	0.6889	0.5217	0.7273
84	0.3667	0.2667	0.2174	0.7273
85	0.8222	0.8000	0.7826	0.9091
90	0.5667	0.6000	0.5455	0.5217
94	0.4444	0.3333	0.2273	0.8696
95	0.5444	0.5111	0.6522	0.5000
96	0.5111	0.4889	0.4348	0.6364
97	0.5222	0.8222	0.3478	0.0909
101	0.3222	0.1778	0.7727	0.1739
102	0.6667	0.6000	0.7143	0.7619
103	0.5444	0.6222	0.8636	0.0870
106	0.4667	0.4000	0.5417	0.5238
