Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
4	0.5444	0.8667	0.1304	0.3182
5	0.4444	0.6444	0.2857	0.2083
8	0.6333	0.8667	0.4091	0.3913
18	0.5222	0.6667	0.4545	0.3043
22	0.5111	0.5778	0.4545	0.4348
27	0.5444	0.7556	0.3478	0.3182
37	0.3523	0.4667	0.3182	0.1429
38	0.4222	0.5556	0.1739	0.4091
39	0.3778	0.6222	0.1739	0.0909
40	0.4889	0.6222	0.3333	0.3750
51	0.5000	0.7111	0.3750	0.1905
60	0.5889	0.4889	0.6957	0.6818
68	0.5000	0.4222	0.4091	0.7391
71	0.6556	0.7556	0.6818	0.4348
75	0.5667	0.5333	0.7727	0.4348
79	0.3556	0.6000	0.1364	0.0870
85	0.6444	0.7111	0.6957	0.4545
90	0.4889	0.4889	0.3182	0.6522
95	0.5556	0.6000	0.4348	0.5909
96	0.4889	0.6222	0.3478	0.3636
97	0.5000	0.7111	0.4348	0.1364
101	0.3444	0.4000	0.4091	0.1739
