Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
7	0.7444	0.7778	0.7391	0.6818
10	0.6111	0.8000	0.4167	0.4286
14	0.4000	0.3556	0.1364	0.7391
28	0.5556	0.7111	0.3182	0.4783
29	0.7333	0.5111	0.9130	1.0000
30	0.5556	0.5333	0.4583	0.7143
31	0.5444	0.5111	0.6818	0.4783
33	0.6111	0.5333	0.7826	0.5909
34	0.7955	0.6667	0.9524	0.9091
35	0.5667	0.6000	1.0000	0.0870
42	0.8111	0.9556	0.7273	0.6087
44	0.5333	0.5111	0.7273	0.3913
48	0.6556	0.5556	0.8182	0.6957
52	0.6222	0.6889	0.8333	0.2381
54	0.7111	0.8222	0.6087	0.5909
55	0.7222	0.8222	0.6957	0.5455
59	0.5556	0.6889	0.2917	0.5714
62	0.9111	0.9333	0.9130	0.8636
65	0.5333	0.6000	0.5833	0.3333
66	0.3889	0.3778	0.3636	0.4348
70	0.6111	0.6889	0.7727	0.3043
72	0.6932	0.5111	0.8182	0.9524
77	0.4778	0.6000	0.6190	0.1250
78	0.3444	0.4667	0.1739	0.2727
82	0.5444	0.7333	0.2174	0.5000
84	0.5556	0.5556	0.5217	0.5909
93	0.6556	0.6889	0.8261	0.4091
94	0.5778	0.5333	0.6818	0.5652
98	0.5444	0.6000	0.7826	0.1818
103	0.6000	0.7556	0.5000	0.3913
105	0.6111	0.7556	0.4783	0.4545
106	0.5222	0.6222	0.4583	0.3810
