Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
3	0.2889	0.2889	0.3043	0.2727
4	0.5778	0.5556	0.4783	0.7273
5	0.4222	0.4667	0.3333	0.4167
10	0.5778	0.4667	0.7500	0.6190
18	0.4000	0.5556	0.3636	0.1304
22	0.5556	0.7111	0.5455	0.2609
27	0.5000	0.4889	0.6957	0.3182
37	0.2955	0.3333	0.4091	0.0952
40	0.4889	0.5778	0.4762	0.3333
68	0.4556	0.4889	0.6818	0.1739
75	0.5889	0.4667	0.6818	0.7391
78	0.3556	0.2667	0.6957	0.1818
79	0.3778	0.5111	0.4091	0.0870
80	0.5333	0.5333	0.6087	0.4545
85	0.7667	0.8222	0.6957	0.7273
90	0.5778	0.6222	0.4545	0.6087
95	0.4778	0.4889	0.4783	0.4545
97	0.3667	0.5778	0.2609	0.0455
101	0.4333	0.4000	0.7273	0.2174
