Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
6	0.3667	0.2444	0.3750	0.6190
8	0.5000	0.4222	0.5455	0.6087
9	0.3667	0.2889	0.4167	0.4762
11	0.5111	0.5556	0.5217	0.4091
12	0.5889	0.4667	0.6667	0.7500
13	0.5111	0.6222	0.3913	0.4091
16	0.5444	0.5111	0.2727	0.8696
17	0.4556	0.4000	0.5652	0.4545
19	0.5444	0.6667	0.2609	0.5909
24	0.3444	0.2222	0.5909	0.3478
26	0.5333	0.6222	0.4167	0.4762
50	0.4222	0.6000	0.2174	0.2727
53	0.3889	0.3333	0.2727	0.6087
58	0.4111	0.2889	0.6250	0.4286
61	0.5667	0.5556	0.4545	0.6957
63	0.5556	0.8222	0.2273	0.3478
67	0.3556	0.4000	0.4091	0.2174
76	0.3678	0.2667	0.5238	0.4286
86	0.5778	0.5556	0.3182	0.8696
96	0.5889	0.5778	0.4348	0.7727
99	0.2889	0.1333	0.0000	0.8696
108	0.5444	0.6889	0.4545	0.3478
