Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
15	0.8222	0.8000	0.9130	0.7727
21	0.4556	0.4222	0.1667	0.8571
23	0.5444	0.3778	0.6364	0.7826
25	0.7000	0.9111	0.6818	0.3043
36	0.5000	0.6000	0.7826	0.0000
38	0.4444	0.5111	0.5217	0.2273
45	0.5444	0.3778	0.8261	0.5909
49	0.7333	0.8889	0.2609	0.9091
55	0.7889	0.7556	0.8261	0.8182
64	0.3933	0.2222	0.3043	0.8571
73	0.5747	0.5333	0.4762	0.7619
74	0.4432	0.4444	0.3636	0.5238
83	0.6444	0.8444	0.6818	0.2174
87	0.3444	0.2000	0.4091	0.5652
91	0.4222	0.3556	0.6818	0.3043
