Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
7	0.7889	0.6667	0.8696	0.9545
10	0.5667	0.4889	0.6667	0.6190
14	0.4111	0.3556	0.1364	0.7826
20	0.5333	0.5556	0.8261	0.1818
27	0.4778	0.5111	0.3913	0.5000
28	0.5000	0.5333	0.5909	0.3478
29	0.7778	0.5778	0.9565	1.0000
30	0.4556	0.3778	0.7917	0.2381
31	0.4111	0.0889	0.8636	0.6087
33	0.5111	0.2889	0.6957	0.7727
34	0.7955	0.6222	1.0000	0.9545
35	0.6000	0.6444	0.9545	0.1739
40	0.4222	0.6667	0.0952	0.2500
41	0.4607	0.4889	0.6522	0.1905
42	0.6889	0.8444	0.8182	0.2609
44	0.6889	0.6889	0.8182	0.5652
47	0.3000	0.2444	0.1250	0.6190
48	0.7111	0.6444	0.7273	0.8261
52	0.7000	0.6667	0.7500	0.7143
54	0.7222	0.8444	0.6957	0.5000
55	0.8000	0.8444	0.6522	0.8636
59	0.4556	0.4444	0.3333	0.6190
60	0.6778	0.5333	0.6957	0.9545
62	0.9000	0.8222	1.0000	0.9545
65	0.5444	0.4667	0.4167	0.8571
66	0.2778	0.2667	0.4091	0.1739
70	0.4333	0.2000	0.7727	0.5652
71	0.6889	0.6444	0.8182	0.6522
72	0.7955	0.7556	0.8182	0.8571
75	0.7222	0.7333	0.5909	0.8261
77	0.4000	0.4889	0.4286	0.2083
78	0.4222	0.4222	0.6522	0.1818
79	0.3889	0.4667	0.3182	0.3043
82	0.5444	0.4889	0.5652	0.6364
84	0.4556	0.4222	0.2174	0.7727
85	0.8222	0.8889	0.6957	0.8182
90	0.5889	0.7333	0.2727	0.6087
93	0.6889	0.6667	0.8696	0.5455
94	0.5111	0.5556	0.2273	0.6957
97	0.3889	0.5111	0.4783	0.0455
98	0.5000	0.4222	0.7391	0.4091
103	0.5222	0.6889	0.4545	0.2609
105	0.6667	0.7111	0.6522	0.5909
106	0.5000	0.4000	0.7917	0.3810
107	0.4000	0.3778	0.6667	0.1429
