Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5778	0.5556	0.5652	0.6364
2	0.6444	0.6222	0.4348	0.9091
3	0.3222	0.2444	0.5652	0.2273
4	0.7000	0.8222	0.2609	0.9091
5	0.5111	0.5111	0.1429	0.8333
6	0.3222	0.3111	0.3750	0.2857
8	0.6111	0.7111	0.3636	0.6522
9	0.2889	0.1333	0.5000	0.3810
11	0.5444	0.5333	0.4783	0.6364
12	0.4444	0.3333	0.7143	0.4167
13	0.5556	0.4000	0.8696	0.5455
15	0.8333	0.9333	0.8696	0.5909
16	0.6222	0.6889	0.4091	0.6957
17	0.4667	0.4000	0.8261	0.2273
18	0.3778	0.6000	0.0000	0.3043
19	0.6444	0.6444	0.6087	0.6818
21	0.4556	0.4667	0.0833	0.8571
22	0.6000	0.6222	0.2727	0.8696
23	0.6000	0.5333	0.5909	0.7391
24	0.4333	0.4444	0.4091	0.4348
25	0.7667	0.9111	0.6818	0.5652
26	0.4556	0.4667	0.5833	0.2857
32	0.8000	0.8667	0.6190	0.8333
36	0.5667	0.6889	0.7826	0.0909
37	0.3523	0.4222	0.5455	0.0000
38	0.3667	0.3778	0.4348	0.2727
39	0.4444	0.4889	0.2609	0.5455
43	0.5778	0.8222	0.5652	0.0909
45	0.7222	0.8000	0.8696	0.4091
46	0.4111	0.3556	0.7826	0.1364
49	0.7444	0.9556	0.2609	0.8182
50	0.5111	0.6444	0.3913	0.3636
51	0.4667	0.5556	0.5000	0.2381
53	0.3778	0.2444	0.1818	0.8261
56	0.5667	0.4000	0.4545	1.0000
57	0.4889	0.6222	0.3333	0.3810
58	0.4111	0.3111	0.5833	0.4286
61	0.4778	0.4222	0.3182	0.7391
63	0.5000	0.6444	0.4545	0.2609
64	0.5056	0.3778	0.5652	0.7143
67	0.3444	0.4667	0.3182	0.1304
68	0.5778	0.6444	0.6364	0.3913
69	0.6889	0.8667	0.7500	0.2381
73	0.7011	0.7111	0.5238	0.8571
74	0.4886	0.5111	0.3182	0.6190
76	0.2874	0.1556	0.6190	0.2381
80	0.6333	0.6222	0.6087	0.6818
81	0.4111	0.7111	0.2273	0.0000
83	0.6667	0.9111	0.5455	0.3043
86	0.5444	0.4000	0.8636	0.5217
87	0.3444	0.2889	0.2273	0.5652
89	0.6111	0.8667	0.2917	0.4286
91	0.4667	0.4222	0.5000	0.5217
95	0.5556	0.6889	0.5217	0.3182
96	0.4889	0.4889	0.4783	0.5000
99	0.3444	0.2889	0.1818	0.6087
101	0.4111	0.4000	0.7273	0.1304
102	0.7011	0.6222	0.7619	0.8095
108	0.4556	0.4000	0.3636	0.6522
