Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
3	0.3111	0.2222	0.4783	0.3182
4	0.6556	0.9333	0.0870	0.6818
5	0.5333	0.7333	0.0952	0.5417
8	0.5667	0.5556	0.7273	0.4348
10	0.5889	0.5111	0.7500	0.5714
11	0.5778	0.6222	0.6957	0.3636
14	0.4667	0.4444	0.1364	0.8261
16	0.6333	0.7778	0.7727	0.2174
18	0.5222	0.8000	0.0000	0.4783
20	0.6000	0.6667	0.5217	0.5455
22	0.5889	0.7333	0.2727	0.6087
23	0.6111	0.5778	0.5000	0.7826
27	0.4444	0.4000	0.3043	0.6818
28	0.5778	0.6667	0.4545	0.5217
30	0.4667	0.3333	0.7917	0.3810
33	0.5222	0.4667	0.3043	0.8636
37	0.3864	0.6222	0.2727	0.0000
38	0.4333	0.4444	0.4783	0.3636
39	0.4667	0.6667	0.3478	0.1818
40	0.4778	0.8000	0.0952	0.2083
41	0.4045	0.3778	0.6957	0.1429
43	0.6333	0.7778	0.6522	0.3182
45	0.7556	0.8000	0.5217	0.9091
46	0.4667	0.5111	0.6522	0.1818
51	0.4778	0.6444	0.3333	0.2857
52	0.7556	0.7111	0.8333	0.7619
55	0.8444	0.8889	0.7826	0.8182
59	0.4778	0.5333	0.4167	0.4286
60	0.6667	0.4889	0.7391	0.9545
63	0.3889	0.4889	0.3182	0.2609
64	0.4719	0.3556	0.3478	0.8571
65	0.4778	0.4444	0.3333	0.7143
66	0.2444	0.2222	0.4091	0.1304
67	0.3667	0.4000	0.1818	0.4783
68	0.6000	0.6889	0.7273	0.3043
69	0.6000	0.7778	0.4583	0.3810
71	0.7333	0.7778	0.8636	0.5217
73	0.6437	0.7333	0.3333	0.7619
75	0.5778	0.6000	0.3636	0.7391
77	0.4778	0.4889	0.5238	0.4167
78	0.3778	0.4222	0.3913	0.2727
79	0.3667	0.5778	0.1364	0.1739
80	0.6778	0.7778	0.4783	0.6818
82	0.5444	0.4667	0.4783	0.7727
84	0.3889	0.3111	0.2174	0.7273
85	0.8333	0.8000	0.7826	0.9545
90	0.6222	0.7333	0.5909	0.4348
91	0.4778	0.6000	0.2273	0.4783
94	0.5333	0.4667	0.5000	0.6957
95	0.5000	0.4444	0.4783	0.6364
96	0.5778	0.6222	0.3043	0.7727
97	0.4778	0.7556	0.3043	0.0909
98	0.4778	0.4667	0.6522	0.3182
101	0.3778	0.4667	0.4545	0.1304
102	0.6667	0.6222	0.7143	0.7143
103	0.4444	0.4222	0.6818	0.2609
106	0.5000	0.4222	0.7500	0.3810
