Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5667	0.5778	0.5217	0.5909
2	0.6556	0.6222	0.5217	0.8636
3	0.2778	0.3111	0.3478	0.1364
6	0.4111	0.4000	0.2917	0.5714
8	0.5778	0.6444	0.4545	0.5652
9	0.3222	0.2000	0.6250	0.2381
10	0.6444	0.6222	0.7500	0.5714
11	0.5222	0.5778	0.5217	0.4091
12	0.4556	0.4000	0.8571	0.2083
13	0.5222	0.3778	0.6957	0.6364
15	0.9000	0.9333	0.7826	0.9545
16	0.6444	0.6889	0.7727	0.4348
17	0.4667	0.4222	0.7391	0.2727
18	0.4778	0.6444	0.0909	0.5217
19	0.6111	0.6000	0.5652	0.6818
20	0.5333	0.6222	0.6087	0.2727
21	0.5333	0.6222	0.1667	0.7619
23	0.5889	0.5333	0.4545	0.8261
24	0.4222	0.3556	0.5909	0.3913
25	0.7111	0.9111	0.5000	0.5217
26	0.4222	0.4000	0.5833	0.2857
27	0.4222	0.4889	0.1304	0.5909
30	0.4222	0.2000	0.8750	0.3810
32	0.7778	0.8222	0.5714	0.8750
33	0.5556	0.4444	0.5217	0.8182
36	0.5333	0.7333	0.3913	0.2727
37	0.4205	0.7333	0.1818	0.0000
38	0.3667	0.2889	0.4348	0.4545
41	0.3483	0.1778	0.9565	0.0476
44	0.6000	0.5333	0.6364	0.6957
45	0.7556	0.8000	0.6522	0.7727
46	0.4000	0.3778	0.4348	0.4091
47	0.4222	0.3556	0.4583	0.5238
49	0.7333	0.9333	0.3913	0.6818
50	0.5556	0.6222	0.4348	0.5455
53	0.3667	0.2889	0.2273	0.6522
55	0.8000	0.7778	0.8696	0.7727
56	0.5889	0.4889	0.8182	0.5652
57	0.4667	0.6222	0.2083	0.4286
58	0.4111	0.4000	0.5417	0.2857
59	0.4333	0.5111	0.4167	0.2857
61	0.5778	0.5111	0.8182	0.4783
63	0.3444	0.3778	0.4091	0.2174
64	0.5506	0.4222	0.5217	0.8571
65	0.5222	0.5556	0.3333	0.6667
66	0.2222	0.2000	0.1818	0.3043
67	0.4000	0.4222	0.5000	0.2609
69	0.6222	0.7556	0.4167	0.5714
71	0.7333	0.7556	0.8636	0.5652
72	0.7386	0.6444	0.9091	0.7619
73	0.6782	0.7778	0.3333	0.8095
74	0.4432	0.4889	0.1818	0.6190
76	0.3333	0.3111	0.6190	0.0952
77	0.4667	0.5778	0.5714	0.1667
79	0.3778	0.6444	0.1364	0.0870
80	0.6444	0.6667	0.5217	0.7273
82	0.5444	0.4889	0.5652	0.6364
83	0.6556	0.7556	0.7273	0.3913
86	0.5556	0.5111	0.4545	0.7391
87	0.3444	0.2667	0.0455	0.7826
89	0.6000	0.7778	0.3333	0.5238
91	0.4667	0.4667	0.3636	0.5652
96	0.4889	0.5111	0.2609	0.6818
98	0.4444	0.4000	0.7391	0.2273
99	0.3222	0.2444	0.2727	0.5217
102	0.7126	0.6444	0.8095	0.7619
105	0.7667	0.8444	0.6957	0.6818
107	0.4667	0.3556	0.5000	0.6667
108	0.5000	0.4667	0.4091	0.6522
