Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
7	0.7333	0.5333	0.9130	0.9545
10	0.5444	0.5778	0.3750	0.6667
14	0.4111	0.3778	0.1364	0.7391
15	0.7667	0.8222	0.6087	0.8182
28	0.5667	0.6667	0.5455	0.3913
29	0.7667	0.6000	0.9130	0.9545
30	0.4667	0.3333	0.8333	0.3333
31	0.4778	0.1778	0.8182	0.7391
33	0.5556	0.4667	0.6522	0.6364
34	0.8182	0.6667	1.0000	0.9545
35	0.5667	0.5778	1.0000	0.1304
42	0.7000	0.9333	0.7273	0.2174
44	0.6444	0.6889	0.6364	0.5652
47	0.2444	0.1556	0.1667	0.5238
48	0.7222	0.7111	0.6818	0.7826
52	0.7111	0.7111	0.7083	0.7143
54	0.6667	0.7333	0.6957	0.5000
55	0.8333	0.8889	0.7826	0.7727
59	0.5000	0.4444	0.3750	0.7619
62	0.9333	0.8667	1.0000	1.0000
65	0.5778	0.5556	0.7500	0.4286
66	0.2333	0.1778	0.2273	0.3478
70	0.4556	0.2889	0.5909	0.6522
77	0.3778	0.4667	0.4286	0.1667
78	0.3333	0.4444	0.1304	0.3182
79	0.4778	0.7556	0.2727	0.1304
81	0.3556	0.3778	0.6818	0.0000
82	0.5444	0.5778	0.4348	0.5909
84	0.4333	0.3556	0.3478	0.6818
93	0.7222	0.6889	0.9130	0.5909
94	0.4222	0.2222	0.2273	1.0000
98	0.4222	0.3111	0.6522	0.4091
103	0.5889	0.7333	0.4091	0.4783
105	0.6556	0.7111	0.5217	0.6818
106	0.5889	0.5778	0.7917	0.3810
107	0.3889	0.3333	0.6250	0.2381
