Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.6444	0.7556	0.3478	0.7273
2	0.6444	0.7111	0.4783	0.6818
4	0.6889	0.9333	0.3043	0.5909
5	0.4667	0.6222	0.0952	0.5000
20	0.4889	0.4667	0.6957	0.3182
22	0.6667	0.8667	0.1364	0.7826
27	0.4778	0.4444	0.4348	0.5909
32	0.7444	0.8444	0.7619	0.5417
37	0.3864	0.7111	0.0909	0.0000
38	0.4111	0.5111	0.1739	0.4545
39	0.4333	0.5333	0.3478	0.3182
40	0.4111	0.6444	0.0476	0.2917
41	0.4157	0.4222	0.7391	0.0476
43	0.7778	0.8889	0.7826	0.5455
45	0.6778	0.7333	0.4783	0.7727
46	0.4000	0.2222	0.9565	0.1818
51	0.4667	0.5778	0.3333	0.3810
57	0.4111	0.6000	0.1250	0.3333
60	0.6444	0.4667	0.6957	0.9545
63	0.4556	0.6000	0.2727	0.3478
67	0.3333	0.3556	0.3182	0.3043
68	0.6333	0.6222	0.6818	0.6087
69	0.6667	0.7556	0.6667	0.4762
71	0.6889	0.6000	0.9091	0.6522
72	0.6477	0.4889	1.0000	0.6190
75	0.5889	0.4667	0.6364	0.7826
80	0.6222	0.6444	0.4783	0.7273
85	0.7889	0.7556	0.7826	0.8636
89	0.5667	0.8444	0.2500	0.3333
90	0.5333	0.6000	0.3182	0.6087
95	0.5444	0.5111	0.5652	0.5909
97	0.4556	0.7556	0.3043	0.0000
101	0.4333	0.4889	0.6364	0.1304
102	0.6552	0.5778	0.9524	0.5238
