Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5222	0.4444	0.6957	0.5000
3	0.3111	0.3556	0.3043	0.2273
7	0.8222	0.8444	0.8261	0.7727
8	0.5444	0.7556	0.4091	0.2609
10	0.5667	0.6667	0.5000	0.4286
11	0.5889	0.6222	0.6087	0.5000
14	0.5444	0.5333	0.3182	0.7826
15	0.7556	0.7556	0.7826	0.7273
18	0.5000	0.6667	0.3182	0.3478
21	0.5111	0.5333	0.2917	0.7143
23	0.4667	0.4222	0.4091	0.6087
27	0.4667	0.5778	0.2609	0.4545
29	0.7444	0.6222	0.7826	0.9545
30	0.5667	0.6000	0.6250	0.4286
31	0.4333	0.3333	0.3636	0.6957
33	0.5667	0.4444	0.8696	0.5000
35	0.5222	0.4444	1.0000	0.2174
36	0.5667	0.7778	0.2174	0.5000
38	0.4778	0.6444	0.3478	0.2727
42	0.6556	0.7778	0.8182	0.2609
44	0.6556	0.6444	0.7727	0.5652
47	0.3667	0.3111	0.4167	0.4286
48	0.6556	0.5778	0.7727	0.6957
55	0.8000	0.8667	0.6522	0.8182
56	0.5444	0.4444	0.4091	0.8696
59	0.5222	0.5111	0.5833	0.4762
61	0.5444	0.5778	0.2273	0.7826
62	0.8778	0.8889	0.8696	0.8636
64	0.4831	0.3111	0.6087	0.7143
65	0.5222	0.5778	0.4167	0.5238
66	0.4333	0.4667	0.3182	0.4783
70	0.5333	0.5778	0.8182	0.1739
74	0.5568	0.6444	0.2273	0.7143
76	0.2874	0.2667	0.4762	0.1429
77	0.4778	0.6000	0.4762	0.2500
78	0.3556	0.3778	0.3478	0.3182
79	0.4000	0.6000	0.2273	0.1739
81	0.4333	0.6000	0.5455	0.0000
82	0.5667	0.5333	0.5217	0.6818
83	0.5667	0.8667	0.4545	0.0870
86	0.5667	0.4889	0.5455	0.7391
90	0.5444	0.6667	0.3182	0.5217
91	0.5111	0.7111	0.2727	0.3478
93	0.6778	0.6667	0.7826	0.5909
94	0.5333	0.4667	0.7273	0.4783
96	0.5111	0.6000	0.6087	0.2273
98	0.5556	0.5556	0.5217	0.5909
99	0.3667	0.4889	0.2727	0.2174
103	0.5889	0.7333	0.4091	0.4783
105	0.5444	0.6889	0.4348	0.3636
106	0.4889	0.6000	0.3333	0.4286
107	0.4444	0.4889	0.2500	0.5714
108	0.5000	0.6667	0.1364	0.5217
