Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5444	0.6444	0.5217	0.3636
2	0.5667	0.5111	0.4783	0.7727
3	0.2556	0.1556	0.4348	0.2727
4	0.6333	0.8667	0.1739	0.6364
5	0.4444	0.6444	0.2857	0.2083
8	0.5444	0.5333	0.6364	0.4783
10	0.5556	0.4667	0.5000	0.8095
14	0.4333	0.5111	0.1364	0.5652
16	0.5333	0.6222	0.7273	0.1739
18	0.4444	0.6000	0.1818	0.3913
20	0.5111	0.6000	0.4783	0.3636
22	0.5444	0.7333	0.2727	0.4348
27	0.4778	0.5333	0.3913	0.4545
28	0.5889	0.7111	0.6364	0.3043
35	0.5556	0.5556	0.9545	0.1739
37	0.5000	0.8889	0.0455	0.1429
38	0.4222	0.6000	0.2174	0.2727
39	0.4778	0.7556	0.1739	0.2273
40	0.4222	0.5778	0.3333	0.2083
42	0.7222	0.8667	0.6818	0.4783
43	0.6667	0.9556	0.6087	0.1364
46	0.3444	0.3556	0.4348	0.2273
51	0.5222	0.5556	0.5000	0.4762
52	0.6333	0.6222	0.5833	0.7143
55	0.6889	0.9111	0.3478	0.5909
59	0.4889	0.4889	0.5417	0.4286
60	0.6111	0.5333	0.6087	0.7727
61	0.6444	0.6889	0.3636	0.8261
64	0.5169	0.4667	0.4348	0.7143
65	0.5444	0.6667	0.4167	0.4286
66	0.3333	0.2889	0.3182	0.4348
68	0.5222	0.6000	0.2727	0.6087
71	0.6778	0.7778	0.7727	0.3913
75	0.5667	0.5111	0.6364	0.6087
77	0.4444	0.4667	0.6667	0.2083
78	0.3444	0.4222	0.2174	0.3182
79	0.3889	0.6222	0.1818	0.1304
80	0.5333	0.5556	0.3913	0.6364
84	0.4667	0.4000	0.4348	0.6364
85	0.7889	0.6889	0.7826	1.0000
90	0.5000	0.6000	0.5455	0.2609
94	0.4889	0.6000	0.2273	0.5217
95	0.4778	0.3333	0.6957	0.5455
96	0.5333	0.6000	0.6522	0.2727
97	0.4333	0.8000	0.0870	0.0455
101	0.3778	0.3111	0.6364	0.2609
102	0.6782	0.6889	0.6190	0.7143
103	0.5111	0.7111	0.3636	0.2609
106	0.4444	0.4889	0.5417	0.2381
