Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5000	0.3111	0.4348	0.9545
2	0.5222	0.2667	0.9130	0.6364
4	0.7222	0.7778	0.5652	0.7727
5	0.4111	0.3111	0.1905	0.7917
6	0.4222	0.3333	0.7917	0.1905
9	0.3222	0.1556	0.8333	0.0952
17	0.3444	0.2000	0.7826	0.1818
19	0.5222	0.3111	0.7391	0.7273
20	0.4667	0.4000	0.6087	0.4545
23	0.5444	0.3556	0.9091	0.5652
26	0.3444	0.2000	0.6667	0.2857
27	0.4000	0.2222	0.3043	0.8636
28	0.6000	0.6000	0.5909	0.6087
32	0.7222	0.6667	0.8571	0.7083
33	0.5889	0.4444	0.6087	0.8636
38	0.3667	0.2889	0.4783	0.4091
39	0.4222	0.5111	0.5217	0.1364
40	0.3111	0.3111	0.0952	0.5000
43	0.6778	0.7333	0.8261	0.4091
44	0.4889	0.3778	0.8636	0.3478
45	0.5667	0.4889	0.8261	0.4545
46	0.4111	0.2222	0.9130	0.2727
49	0.6667	0.8444	0.2174	0.7727
50	0.5333	0.4667	0.6957	0.5000
51	0.4000	0.4444	0.4167	0.2857
53	0.3667	0.1333	0.8636	0.3478
55	0.6778	0.4444	0.8696	0.9545
57	0.4222	0.3333	0.4583	0.5714
58	0.3444	0.0667	0.9583	0.2381
59	0.4556	0.4000	0.6667	0.3333
60	0.6778	0.4444	0.8696	0.9545
61	0.4778	0.3556	0.8636	0.3478
63	0.2667	0.1333	0.5909	0.2174
64	0.3708	0.1333	0.5652	0.6667
67	0.3333	0.2000	0.5909	0.3478
68	0.5222	0.3778	0.7727	0.5652
69	0.5556	0.6667	0.2500	0.6667
71	0.5222	0.3333	1.0000	0.4348
72	0.7159	0.5333	1.0000	0.8095
73	0.5747	0.5556	0.3333	0.8571
74	0.4659	0.3778	0.6364	0.4762
79	0.3889	0.3333	0.5909	0.3043
80	0.5000	0.4222	0.3913	0.7727
82	0.4889	0.2889	0.7391	0.6364
83	0.6556	0.6444	0.8182	0.5217
87	0.3333	0.1111	0.2727	0.8261
89	0.6000	0.5778	0.5000	0.7619
90	0.3444	0.1556	0.3182	0.7391
91	0.3333	0.1778	0.6818	0.3043
93	0.6778	0.5333	0.9565	0.6818
95	0.5222	0.4667	0.6957	0.4545
96	0.4000	0.2444	0.8261	0.2727
97	0.3667	0.4889	0.4783	0.0000
101	0.2778	0.0444	0.9545	0.0870
102	0.6207	0.5111	0.5238	0.9524
103	0.4778	0.2444	0.9091	0.5217
105	0.4111	0.1333	0.7826	0.5909
