Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.6333	0.6444	0.4783	0.7727
3	0.2889	0.2222	0.3913	0.3182
4	0.6556	0.8889	0.2609	0.5909
5	0.4778	0.5556	0.0952	0.6667
8	0.5000	0.4000	0.7727	0.4348
10	0.6333	0.5778	0.6667	0.7143
14	0.4667	0.4222	0.1364	0.8696
16	0.5667	0.6889	0.6818	0.2174
17	0.4778	0.4444	0.5652	0.4545
18	0.4667	0.7111	0.1364	0.3043
20	0.5889	0.6444	0.4783	0.5909
22	0.6222	0.7778	0.1818	0.7391
27	0.4333	0.4667	0.1739	0.6364
28	0.6111	0.7333	0.5455	0.4348
35	0.5778	0.5778	1.0000	0.1739
37	0.4318	0.7333	0.2273	0.0000
38	0.4111	0.4667	0.0870	0.6364
39	0.4333	0.6889	0.1304	0.2273
40	0.4667	0.7333	0.0476	0.3333
43	0.6889	0.8667	0.5217	0.5000
46	0.4778	0.4444	0.7391	0.2727
51	0.4222	0.6000	0.2500	0.2381
52	0.7111	0.6889	0.7083	0.7619
57	0.5000	0.7111	0.1667	0.4286
59	0.4556	0.5333	0.2917	0.4762
60	0.6556	0.5111	0.6522	0.9545
63	0.4000	0.4222	0.4545	0.3043
64	0.5056	0.4222	0.4348	0.7619
65	0.5111	0.5111	0.2917	0.7619
66	0.2444	0.1778	0.3182	0.3043
67	0.3444	0.4222	0.4545	0.0870
68	0.5889	0.4889	0.7727	0.6087
69	0.6000	0.6889	0.4167	0.6190
71	0.7556	0.7778	0.7727	0.6957
75	0.6556	0.6222	0.5455	0.8261
77	0.4333	0.4667	0.3333	0.4583
78	0.3333	0.4222	0.0435	0.4545
79	0.3778	0.4444	0.2273	0.3913
80	0.7556	0.7556	0.7826	0.7273
83	0.5889	0.7778	0.3182	0.4783
84	0.3444	0.2000	0.2609	0.7273
85	0.8667	0.9111	0.6522	1.0000
89	0.6222	0.8222	0.2500	0.6190
90	0.5889	0.6667	0.5000	0.5217
93	0.6667	0.6222	0.8261	0.5909
94	0.5667	0.7333	0.2273	0.5652
95	0.5889	0.6000	0.6522	0.5000
96	0.4778	0.3333	0.4783	0.7727
97	0.4333	0.6667	0.3043	0.0909
101	0.5000	0.6000	0.7273	0.0870
102	0.6437	0.5778	0.8095	0.6190
103	0.4556	0.4222	0.6364	0.3478
106	0.4667	0.4000	0.9167	0.0952
