Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
3	0.3556	0.3111	0.5652	0.2273
7	0.8000	0.6667	0.9130	0.9545
10	0.6444	0.6889	0.7083	0.4762
14	0.4556	0.3556	0.2727	0.8261
15	0.8111	0.8667	0.5217	1.0000
20	0.5556	0.6000	0.7826	0.2273
23	0.5222	0.5111	0.6818	0.3913
25	0.7222	0.9333	0.5909	0.4348
27	0.5222	0.5556	0.4783	0.5000
28	0.5556	0.6667	0.3636	0.5217
29	0.7556	0.5778	0.8696	1.0000
30	0.3889	0.2000	0.8333	0.2857
31	0.3889	0.1111	0.4091	0.9130
33	0.5778	0.4222	0.8261	0.6364
34	0.7841	0.6222	0.9048	1.0000
35	0.6889	0.6889	1.0000	0.3913
38	0.4444	0.4444	0.5217	0.3636
41	0.5169	0.6667	0.6522	0.0476
42	0.7333	0.9111	0.7273	0.3913
44	0.7222	0.6667	0.7273	0.8261
47	0.3333	0.2000	0.2500	0.7143
48	0.6778	0.6889	0.6364	0.6957
52	0.7333	0.7333	0.7500	0.7143
54	0.7111	0.8444	0.8261	0.3182
55	0.8222	0.8444	0.7391	0.8636
56	0.6333	0.5111	0.7273	0.7826
59	0.4778	0.5333	0.2917	0.5714
61	0.6222	0.5111	0.6818	0.7826
62	0.8778	0.7778	1.0000	0.9545
64	0.5281	0.4667	0.4348	0.7619
65	0.5444	0.5556	0.4583	0.6190
66	0.2222	0.2000	0.3636	0.1304
70	0.4889	0.3556	0.5909	0.6522
72	0.7614	0.6222	1.0000	0.8095
75	0.6889	0.6444	0.5455	0.9130
77	0.4556	0.4889	0.5238	0.3333
78	0.3889	0.4667	0.3478	0.2727
79	0.3889	0.6222	0.1818	0.1304
81	0.3667	0.4889	0.5000	0.0000
82	0.5111	0.5333	0.3043	0.6818
84	0.5000	0.4222	0.4348	0.7273
90	0.5222	0.5111	0.3636	0.6957
93	0.6556	0.6222	0.8261	0.5455
94	0.5222	0.6000	0.2273	0.6522
96	0.4778	0.3556	0.4348	0.7727
98	0.4889	0.4667	0.7391	0.2727
99	0.3444	0.2444	0.1364	0.7391
103	0.5778	0.6222	0.6818	0.3913
105	0.6889	0.7778	0.6522	0.5455
106	0.5556	0.5778	0.5833	0.4762
107	0.3667	0.3556	0.5417	0.1905
108	0.5667	0.7556	0.2273	0.5217
