Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
3	0.3111	0.0889	0.5652	0.5000
7	0.6889	0.4889	0.8696	0.9091
10	0.4889	0.3778	0.5000	0.7143
14	0.4111	0.2667	0.4545	0.6522
15	0.7222	0.7778	0.3478	1.0000
20	0.4222	0.3333	0.6957	0.3182
23	0.4889	0.3778	0.3636	0.8261
25	0.6000	0.5556	0.5909	0.6957
27	0.4000	0.2667	0.4783	0.5909
28	0.4778	0.4222	0.3636	0.6957
29	0.6667	0.3333	1.0000	1.0000
30	0.4000	0.1333	1.0000	0.2857
31	0.4111	0.1778	0.4091	0.8696
33	0.5444	0.3111	0.9130	0.6364
34	0.7159	0.6000	0.6667	1.0000
35	0.5111	0.4444	0.9545	0.2174
38	0.3556	0.2889	0.6522	0.1818
41	0.3820	0.2667	0.8261	0.1429
42	0.7667	0.9111	0.7727	0.4783
44	0.5222	0.3333	0.8636	0.5652
47	0.2556	0.0667	0.3333	0.5714
48	0.5667	0.4667	0.9091	0.4348
52	0.6889	0.5333	0.7917	0.9048
54	0.6222	0.5778	0.7391	0.5909
55	0.7333	0.5778	0.8696	0.9091
56	0.4556	0.2444	0.5000	0.8261
59	0.4000	0.2889	0.4167	0.6190
61	0.5333	0.4889	0.6364	0.5217
62	0.8778	0.7556	1.0000	1.0000
64	0.3258	0.1111	0.4783	0.6190
65	0.4000	0.1556	0.5833	0.7143
66	0.2556	0.1556	0.5000	0.2174
70	0.4667	0.2222	0.9091	0.5217
72	0.7500	0.6444	1.0000	0.7143
75	0.5667	0.4000	0.5909	0.8696
77	0.4111	0.3778	0.5238	0.3750
78	0.3111	0.2222	0.1304	0.6818
79	0.3444	0.3111	0.3636	0.3913
81	0.2667	0.0667	0.9545	0.0000
82	0.5333	0.4000	0.4348	0.9091
84	0.5000	0.3111	0.5217	0.8636
90	0.4222	0.2667	0.3636	0.7826
93	0.6333	0.4667	0.9565	0.6364
94	0.5111	0.4000	0.5909	0.6522
96	0.3222	0.1333	0.7826	0.2273
98	0.4556	0.3111	0.7391	0.4545
99	0.2222	0.0667	0.2727	0.4783
103	0.4111	0.2444	0.8636	0.3043
105	0.5778	0.6667	0.5652	0.4091
106	0.4556	0.3556	0.5417	0.5714
107	0.4000	0.2222	0.4583	0.7143
108	0.5111	0.4667	0.3182	0.7826
