Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.4778	0.2667	0.3913	1.0000
3	0.2556	0.0444	0.5652	0.3636
4	0.6667	0.5556	0.6522	0.9091
5	0.2889	0.2000	0.3333	0.4167
8	0.3778	0.0889	0.5455	0.7826
10	0.4556	0.2444	0.7500	0.5714
14	0.3444	0.1333	0.4545	0.6522
16	0.3222	0.1111	0.8636	0.2174
17	0.3556	0.2000	0.7826	0.2273
18	0.3444	0.2667	0.2273	0.6087
20	0.4889	0.3778	0.6957	0.5000
22	0.4778	0.3778	0.6364	0.5217
27	0.3111	0.1333	0.3913	0.5909
28	0.4556	0.3333	0.7727	0.3913
35	0.2667	0.0222	1.0000	0.0435
37	0.2841	0.3111	0.4545	0.0476
38	0.3333	0.1778	0.5217	0.4545
39	0.3667	0.3556	0.3913	0.3636
40	0.3111	0.3333	0.2857	0.2917
43	0.6778	0.6222	0.8696	0.5909
46	0.3444	0.1111	0.9565	0.1818
51	0.3444	0.2889	0.4167	0.3810
52	0.6111	0.4222	0.8750	0.7143
57	0.4111	0.2889	0.3750	0.7143
59	0.3556	0.2667	0.2500	0.6667
60	0.6333	0.4222	0.8696	0.8182
63	0.3000	0.0889	0.6818	0.3478
64	0.4045	0.2222	0.5217	0.6667
65	0.4222	0.0889	0.5833	0.9524
66	0.2333	0.1111	0.4545	0.2609
67	0.3444	0.1556	0.7727	0.3043
68	0.4111	0.2222	0.9091	0.3043
69	0.6000	0.6000	0.6250	0.5714
71	0.6000	0.3556	0.8636	0.8261
75	0.5556	0.3333	0.6364	0.9130
77	0.3111	0.3111	0.2857	0.3333
78	0.3000	0.0667	0.6087	0.4545
79	0.3889	0.2000	0.4545	0.6957
80	0.4222	0.2444	0.7391	0.4545
83	0.6111	0.5556	0.7273	0.6087
84	0.3444	0.2000	0.0870	0.9091
85	0.6889	0.6222	0.5652	0.9545
89	0.4222	0.3556	0.2083	0.8095
90	0.3778	0.1333	0.6364	0.6087
93	0.6333	0.4667	0.9565	0.6364
94	0.5889	0.4444	0.6818	0.7826
95	0.5111	0.4444	0.7826	0.3636
96	0.3778	0.0667	0.7826	0.5909
97	0.3333	0.2889	0.6087	0.1364
101	0.2444	0.0444	0.8182	0.0870
102	0.5287	0.4222	0.8095	0.4762
103	0.4889	0.2889	0.5909	0.7826
106	0.3667	0.1556	0.7917	0.3333
