Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.4556	0.2222	0.6087	0.7727
3	0.3111	0.1556	0.4783	0.4545
6	0.3667	0.3111	0.2917	0.5714
7	0.6222	0.3556	0.7826	1.0000
8	0.3444	0.1111	0.3636	0.7826
9	0.2778	0.0889	0.5833	0.3333
11	0.4000	0.3556	0.5217	0.3636
12	0.3444	0.0667	0.9524	0.3333
13	0.4000	0.1556	0.5652	0.7273
15	0.7778	0.7778	0.6957	0.8636
16	0.3889	0.2444	0.9545	0.1304
17	0.4111	0.2889	0.6957	0.3636
18	0.3778	0.3556	0.1364	0.6522
19	0.5444	0.4222	0.5217	0.8182
21	0.3556	0.2000	0.1667	0.9048
23	0.5000	0.3111	0.5909	0.7826
24	0.2333	0.0000	0.4091	0.5217
25	0.6444	0.6889	0.5000	0.6957
26	0.2889	0.0667	0.7083	0.2857
30	0.3778	0.0889	0.9583	0.3333
33	0.5000	0.2222	1.0000	0.5455
36	0.4333	0.3778	0.8696	0.0909
37	0.2727	0.2444	0.5455	0.0476
38	0.3889	0.1778	0.7391	0.4545
41	0.4719	0.3111	0.8696	0.3810
45	0.5667	0.5556	0.7826	0.3636
46	0.3556	0.2222	0.6087	0.3636
47	0.3667	0.2889	0.4583	0.4286
50	0.4444	0.3333	0.4783	0.6364
51	0.4444	0.3556	0.6667	0.3810
53	0.4000	0.1111	0.5909	0.7826
55	0.7111	0.5333	0.8261	0.9545
56	0.3778	0.1333	0.8182	0.4348
57	0.4333	0.4000	0.5000	0.4286
58	0.2889	0.0222	0.4583	0.6667
59	0.3556	0.2222	0.5000	0.4762
61	0.5000	0.2889	0.7727	0.6522
63	0.3000	0.2222	0.5000	0.2609
64	0.3371	0.1556	0.4783	0.5714
66	0.2444	0.1333	0.3182	0.3913
67	0.2889	0.0889	0.5455	0.4348
70	0.5222	0.3333	0.8182	0.6087
71	0.5778	0.5556	0.7273	0.4783
73	0.5977	0.6444	0.8095	0.2857
74	0.3750	0.2889	0.3636	0.5714
76	0.2989	0.0444	0.7143	0.4286
78	0.3556	0.2667	0.3478	0.5455
79	0.3556	0.3333	0.2727	0.4783
80	0.4111	0.3333	0.7391	0.2273
81	0.3444	0.3556	0.6818	0.0000
86	0.4111	0.1333	0.7273	0.6522
87	0.3778	0.1556	0.5000	0.6957
89	0.4556	0.4222	0.5833	0.3810
90	0.3889	0.2222	0.7727	0.3478
91	0.4333	0.2222	0.8182	0.4783
93	0.6556	0.5111	0.9130	0.6818
96	0.3333	0.0889	0.4783	0.6818
98	0.4222	0.2444	0.7391	0.4545
99	0.2667	0.0444	0.1364	0.8261
101	0.3667	0.2222	0.8182	0.2174
105	0.5000	0.3111	0.8261	0.5455
107	0.3111	0.0444	0.5417	0.6190
108	0.4222	0.3333	0.4545	0.5652
